album,artist,country,label,year,date_year
Artematique,Wonderful Wanderer,Germany,Subspiele Records,2015,2015-01-01
The Clique EP,Frame Six,France,Black & White Recording,2005,2005-01-01
Honeycomb EP,Luke Abbott,United Kingdom,Amazing Sounds,2010,2010-01-01
Picaro EP,Franco Cinelli,Germany,Milnor Modern,2005,2005-01-01
Note To Self,Johnny Arthur,United Kingdom,Veryverywrongindeed Recordings,2009,2009-01-01
Shakuhachi,Mike Parker,United States of America,Geophone,1998,1998-01-01
Finnish Experience EP,*,Germany,Craft Music,2008,2008-01-01
Raw Macro,Farben,Germany,Klang Elektronik,2000,2000-01-01
Secrets,MRZ,Switzerland,Nice Try Records,2011,2011-01-01
Wanda's Wig Wax (Mixes),Slacknoise,United Kingdom,Underl_ne,2005,2005-01-01
The Manipulator Of,Ion Ludwig,Germany,Resopal Red,2008,2008-01-01
Push The Patton,Tigerskin,Germany,Dirt Crew Recordings,2007,2007-01-01
Fabric 46,Claude VonStroke,United Kingdom,Fabric (2),2009,2009-01-01
Warsaw Bread,False,Canada,Plus 8 Records,2002,2002-01-01
False,False,Canada,Plus 8 Records,2003,2003-01-01
Chapter Ten,Gaetano Parisio,Italy,Southsoul,2006,2006-01-01
Nothing Is Written,Phantom/Ghost,Germany,Ladomat 2000,2003,2003-01-01
Dross Glop 3,Battles,United Kingdom,Warp Records,2012,2012-01-01
Blood EP,Stefan Goldmann,Germany,Perlon,2005,2005-01-01
Still Sequence,Etc. (4),Japan,elementperspective,2013,2013-01-01
Re:Sound EP,A.Mochi,United Kingdom,Mote-Evolver,2007,2007-01-01
Sweet Heini / Buccaneer,Jackmate,Germany,Phil e,2007,2007-01-01
Black Bag Job,Donnacha Costello,Germany,Minimise,2007,2007-01-01
All That Jazz,*,Germany,Great Stuff Recordings,2008,2008-01-01
Possible Conclusions To Stories That Never End,Mike Shannon,Germany,~scape,2006,2006-01-01
Neural Block,*,Canada,M_nus,2006,2006-01-01
Blank Fade,*,Canada,M_nus,2008,2008-01-01
Folger,Shin (6),Germany,Yellow Tail,2008,2008-01-01
Chica Wappa,Alex Smoke,United Kingdom,Soma Quality Recordings,2004,2004-01-01
Paradolia,Alex Smoke,United Kingdom,Soma Quality Recordings,2006,2006-01-01
Circus Maximus,Solieb,Germany,Maschine,2005,2005-01-01
Halo / The Drums,Solieb,Germany,Maschine Ltd.,2007,2007-01-01
T 2 Da C (Da Remixes),Hardfloor,Germany,Hardfloor,2005,2005-01-01
People Be Happy / Rhythm Dance,Steve Reid (2),United Kingdom,Domino,2007,2007-01-01
Mifa / JR500 (John Tejada Remix),Alka,Germany,Resopal Schallware,2002,2002-01-01
Romantique,Nico Purman,Japan,Mule Electronic,2007,2007-01-01
Hamilton (Versions),*,Germany,Italic,2008,2008-01-01
Let's Do It,Dave Hughes,United States of America,Palette Recordings,2007,2007-01-01
R U OK,Ambivalent,Canada,M_nus,2007,2007-01-01
One World One Future,Armando,Belgium,Radikal Fear,1996,1996-01-01
Beatport Exclusive,Solieb,Germany,Maschine,2006,2006-01-01
Nostalgik.3,Plastikman,Canada,M_nus,2007,2007-01-01
Untitled,Floorplan,United States of America,Drama,1999,1999-01-01
Technatural EP,Robert Hood,United States of America,M-Plant,2000,2000-01-01
Farben. Says: Don't Fight Phrases,Farben,Germany,Klang Elektronik,2002,2002-01-01
"No, No, No, No EP",Raudive,Germany,Klang Elektronik,2006,2006-01-01
Sopot,Slg,Poland,Channels Records,2007,2007-01-01
Familia Remix EP 2,Pier Bucci,United Kingdom,Crosstown Rebels,2006,2006-01-01
Labyrinths Designer E.P.,Henry Saiz,Germany,Paradigma Musik,2007,2007-01-01
Impulsion Parasite Rmxs Part 2,Dapayk Solo,Germany,Mo's Ferry Prod.,2007,2007-01-01
Crisis,Jake Fairley,Germany,Sender Records,2002,2002-01-01
Parabolica,AOKI Takamasa,Japan,Op.disc,2006,2006-01-01
The Know Returns EP,Mike Shannon,Canada,Cynosure,2003,2003-01-01
Zinga,Italoboyz,Germany,Get Physical Music,2008,2008-01-01
Roland Casper E.P. Volume Two,Roland Casper,Germany,Think Green,1995,1995-01-01
"<a href=""/master/88366-Galactic-Ass-Creatures-From-Uranus/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Poker Flat Recordings,2004,2004-01-01
Peking Duck,*,Netherlands,Intacto Records,2010,2010-01-01
Innerelements,Ken Ishii,Belgium,R & S Records,1994,1994-01-01
World Series Vol 2,Phonogenic,United Kingdom,20:20 Vision,2007,2007-01-01
"<a class=""needs_changes"" href=""/master/171480-Bryzant-Games/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Definition Records,2008,2008-01-01
Evolver,Peter Horrevorts,Germany,Kanzleramt,2007,2007-01-01
Cabrini E.P.,Ibrahim Alfa,United Kingdom,Automatic Records,1999,1999-01-01
Ref.01,Endorphine,France,Ombre Sonore,2000,2000-01-01
Una Rosa,Niconé,Germany,Stil Vor Talent,2008,2008-01-01
Ghetto Trax,*,United States of America,Accelerate,1993,1993-01-01
Impulse Control Remixed,Decimal,United States of America,Enemy Records (2),2009,2009-01-01
Collective 1,Lee Van Dowski,Germany,BPitch Control,2006,2006-01-01
1914 EP,Taylan,United Kingdom,Living Records,2007,2007-01-01
Unwelcome Visitor EP,Nikola Grebovic,Argentina,Miniatura Records,2008,2008-01-01
From Buenos Aires To Istanbul (The Originals),Various,Argentina,Miniatura Records,2008,2008-01-01
UNdefinition Compilation,Various,Germany,Unoiki,2010,2010-01-01
Heimatmelodie EP,Foxx,Germany,Foxx,1997,1997-01-01
Pops,Riou,Belgium,KK Records,1997,1997-01-01
